exe,threads,type,elems,turns,throughput,stdev
boost-dynamic,1,consumer,100000,1000,27538.160000000003,1493.3874421596017
boost-dynamic,1,producer,100000,1000,27775.539999999997,1520.507525269112
boost-dynamic,1,total,100000,1000,55313.699999999997,3013.8942393521384
boost-dynamic,2,consumer,100000,1000,24628.41,2509.0948349753539
boost-dynamic,2,producer,100000,1000,24818.23,2548.3424978012667
boost-dynamic,2,total,100000,1000,49446.610000000001,5057.4105893134692
boost-dynamic,4,consumer,100000,1000,19345.969999999998,1162.7416652464133
boost-dynamic,4,producer,100000,1000,19468.190000000002,1172.7337024661654
boost-dynamic,4,total,100000,1000,38814.160000000003,2335.4907202555946
boost-dynamic,8,consumer,100000,1000,23404.219999999998,820.44679998157108
boost-dynamic,8,producer,100000,1000,23573.909999999996,832.36736414878794
boost-dynamic,8,total,100000,1000,46978.099999999999,1652.8204790599614
boost-dynamic,14,consumer,100000,1000,27959.420000000002,1098.7238249897011
boost-dynamic,14,producer,100000,1000,28166.629999999997,1106.7884342095374
boost-dynamic,14,total,100000,1000,56126.069999999992,2205.2897233923709
boost-dynamic,28,consumer,100000,1000,17652.52,329.71380559509498
boost-dynamic,28,producer,100000,1000,18067.490000000002,409.89734678331337
boost-dynamic,28,total,100000,1000,35720.020000000004,738.18074995220627
boost-dynamic-pop,1,consumer,10000,1000,295106.20000000001,25829.898709828503
boost-dynamic-pop,2,consumer,10000,1000,256136.89999999999,27915.286720540771
boost-dynamic-pop,4,consumer,10000,1000,136296.5,18844.967138469623
boost-dynamic-pop,8,consumer,10000,1000,41121.490000000005,4105.0420944126736
boost-dynamic-pop,14,consumer,10000,1000,36042.580000000002,793.75713892852741
boost-dynamic-pop,28,consumer,10000,1000,36229.12000000001,352.18688731978608
boost-dynamic-push,1,producer,10000,1000,123041.2,775.9223930265191
boost-dynamic-push,2,producer,10000,1000,109944.89999999999,5552.0353826322116
boost-dynamic-push,4,producer,10000,1000,93355.130000000005,1615.442826007778
boost-dynamic-push,8,producer,10000,1000,61341.759999999995,1482.2884680115408
boost-dynamic-push,14,producer,10000,1000,41607.090000000004,643.28062220153811
boost-dynamic-push,28,producer,10000,1000,24335.509999999998,399.14273249052133
boost-static,1,consumer,100000,1000,62486.020000000004,5423.395472358623
boost-static,1,producer,100000,1000,63842.650000000001,5632.96385275993
boost-static,1,total,100000,1000,126328.60000000001,11056.1973137241
boost-static,2,consumer,100000,1000,59363.080000000002,3757.2160480334373
boost-static,2,producer,100000,1000,60517.75,3911.8524648176603
boost-static,2,total,100000,1000,119880.8,7669.0410847771564
boost-static,4,consumer,100000,1000,44858.080000000002,1604.9238074126765
boost-static,4,producer,100000,1000,45431.260000000002,1670.6944718888612
boost-static,4,total,100000,1000,90289.330000000002,3274.9369328431339
boost-static,8,consumer,100000,1000,48896.159999999996,823.58230942632656
boost-static,8,producer,100000,1000,49701.040000000001,857.15232158584251
boost-static,8,total,100000,1000,98597.199999999997,1680.1076304808585
boost-static,14,consumer,100000,1000,47015.399999999994,1729.2915347043145
boost-static,14,producer,100000,1000,47484.939999999995,1740.9145471274571
boost-static,14,total,100000,1000,94500.319999999992,3470.0293790687138
boost-static,28,consumer,100000,1000,37745.710000000006,1090.7334068873115
boost-static,28,producer,100000,1000,38495.889999999999,1187.2278883601086
boost-static,28,total,100000,1000,76241.610000000015,2274.3522583144422
boost-static-pop,1,consumer,10000,1000,194716.5,2140.02865635019
boost-static-pop,2,consumer,10000,1000,231625.70000000001,13437.217792757547
boost-static-pop,4,consumer,10000,1000,201178.29999999999,12628.171142726884
boost-static-pop,8,consumer,10000,1000,188909.70000000001,5331.7387417239415
boost-static-pop,14,consumer,10000,1000,181551.39999999999,1086.0281948457875
boost-static-pop,28,consumer,10000,1000,188371.89999999999,1256.9207174678918
boost-static-push,1,producer,10000,1000,126255.2,5096.3200409707397
