exe,threads,type,elems,turns,throughput,stdev
boost-dynamic,1,consumer,1000000,10,21.587060000000001,1.9079060591129742
boost-dynamic,1,producer,1000000,10,21.726949999999999,1.9328810373377869
boost-dynamic,1,total,1000000,10,43.314010000000003,3.8407501094057124
boost-dynamic,2,consumer,1000000,10,12.500430000000001,0.37099533164178755
boost-dynamic,2,producer,1000000,10,12.679449999999999,0.36795310095173778
boost-dynamic,2,total,1000000,10,25.17991,0.73839222429546225
boost-dynamic,4,consumer,1000000,10,9.1473779999999998,0.2426389053635056
boost-dynamic,4,producer,1000000,10,9.2241750000000007,0.24538890420106613
boost-dynamic,4,total,1000000,10,18.371549999999999,0.48787652382544444
boost-dynamic,8,consumer,1000000,10,9.1101859999999988,0.1404902892871959
boost-dynamic,8,producer,1000000,10,9.2384690000000003,0.14492765612194236
boost-dynamic,8,total,1000000,10,18.348660000000002,0.28533962290575782
boost-dynamic,14,consumer,1000000,10,8.0527979999999992,0.33514271810081148
boost-dynamic,14,producer,1000000,10,8.0998049999999981,0.34106508186121914
boost-dynamic,14,total,1000000,10,16.152610000000003,0.67619023277477219
boost-dynamic,28,consumer,1000000,10,2.8355769999999998,0.13038637628602148
boost-dynamic,28,producer,1000000,10,2.8589579999999999,0.13425802641183132
boost-dynamic,28,total,1000000,10,5.694534,0.26463737525905145
boost-dynamic-pop,1,consumer,100000,10,258.7636,59.831262855132856
boost-dynamic-pop,2,consumer,100000,10,72.987069999999989,5.0832816056264276
boost-dynamic-pop,4,consumer,100000,10,71.139039999999994,11.757642656604256
boost-dynamic-pop,8,consumer,100000,10,54.600810000000003,6.0329600117106699
boost-dynamic-pop,14,consumer,100000,10,35.786410000000004,1.8689040678697222
boost-dynamic-pop,28,consumer,100000,10,26.633769999999998,1.2880395662012869
boost-dynamic-push,1,producer,100000,10,84.860470000000007,10.219951219653646
boost-dynamic-push,2,producer,100000,10,59.330770000000008,7.5340138039493931
boost-dynamic-push,4,producer,100000,10,54.657699999999998,1.8313873708202746
boost-dynamic-push,8,producer,100000,10,36.371869999999994,1.4248126845659381
boost-dynamic-push,14,producer,100000,10,25.868569999999998,0.90794579469261272
boost-dynamic-push,28,producer,100000,10,14.83623,1.1320897632696798
boost-static,1,consumer,1000000,10,37.07889999999999,2.0611640832306377
boost-static,1,producer,1000000,10,37.558889999999998,2.134094736158636
boost-static,1,total,1000000,10,74.637780000000006,4.1951701972148872
boost-static,2,consumer,1000000,10,36.884549999999997,1.8377910698716533
boost-static,2,producer,1000000,10,37.345529999999997,1.901091388150502
boost-static,2,total,1000000,10,74.230100000000007,3.7386968582649218
boost-static,4,consumer,1000000,10,37.152540000000002,1.6118333004377345
boost-static,4,producer,1000000,10,37.641709999999996,1.6641285439833062
boost-static,4,total,1000000,10,74.794270000000012,3.2759302245469155
boost-static,8,consumer,1000000,10,36.650490000000005,2.5418627482419258
boost-static,8,producer,1000000,10,37.079859999999996,2.634842899757023
boost-static,8,total,1000000,10,73.730370000000008,5.1764916462890183
boost-static,14,consumer,1000000,10,29.652870000000007,2.1709159550982173
boost-static,14,producer,1000000,10,29.863610000000001,2.1979649867320452
boost-static,14,total,1000000,10,59.516499999999994,4.368724180123988
boost-static,28,consumer,1000000,10,24.178439999999998,0.98266112694051388
boost-static,28,producer,1000000,10,24.451720000000002,1.0186446561976361
boost-static,28,total,1000000,10,48.63017,2.0008536063640445
boost-static-pop,1,consumer,100000,10,187.71439999999998,5.6594595890420534
boost-static-pop,2,consumer,100000,10,183.4736,3.0590192284456137
boost-static-pop,4,consumer,100000,10,189.04400000000001,2.4367953545589343
boost-static-pop,8,consumer,100000,10,183.47379999999998,5.1948777810454807
boost-static-pop,14,consumer,100000,10,173.9691,2.467640956460242
boost-static-pop,28,consumer,100000,10,165.83269999999999,0.81956098613831474
boost-static-push,1,producer,100000,10,87.053009999999986,9.1844668974796786
boost-static-push,2,producer,100000,10,82.913219999999995,5.7336094638194544
boost-static-push,4,producer,100000,10,73.82059000000001,6.2547837506104074
boost-static-push,8,producer,100000,10,53.610599999999998,3.3584155207478426
boost-static-push,14,producer,100000,10,26.863980000000005,1.9213946131911586
boost-static-push,28,producer,100000,10,14.253920000000003,0.77494138978376936
circularfifo,1,consumer,1000000,10,34.970909999999996,2.7564333227741975
circularfifo,1,producer,1000000,10,35.942549999999997,2.9190772272243852
circularfifo,1,total,1000000,10,70.913479999999993,5.6753123582407312
circularfifo,2,consumer,1000000,10,35.834780000000009,2.7358847489614755
circularfifo,2,producer,1000000,10,36.835639999999998,2.8622356926710277
circularfifo,2,total,1000000,10,72.670450000000002,5.5979837029505521
circularfifo,4,consumer,1000000,10,33.819430000000004,1.1551138074233198
circularfifo,4,producer,1000000,10,34.666190000000007,1.1764134753138455
circularfifo,4,total,1000000,10,68.485610000000008,2.3285702997547659
circularfifo,8,consumer,1000000,10,34.212199999999996,1.8166399698344184
circularfifo,8,producer,1000000,10,35.032850000000003,1.880260568777637
circularfifo,8,total,1000000,10,69.245039999999989,3.6957790345744446
circularfifo,14,consumer,1000000,10,29.051069999999999,1.3349107236440938
circularfifo,14,producer,1000000,10,29.395949999999999,1.3502349997315282
circularfifo,14,total,1000000,10,58.447009999999999,2.6847815856974284
circularfifo,28,consumer,1000000,10,24.473399999999998,1.0382108360058657
circularfifo,28,producer,1000000,10,24.796520000000001,1.0933378844620725
circularfifo,28,total,1000000,10,49.2699,2.1305497487737766
circularfifo-pop,1,consumer,100000,10,85.796430000000015,2.5014312471263325
circularfifo-pop,2,consumer,100000,10,96.312440000000009,4.3348939007085292
circularfifo-pop,4,consumer,100000,10,94.101570000000009,4.0224582566013032
circularfifo-pop,8,consumer,100000,10,90.216799999999992,2.3956638921184257
circularfifo-pop,14,consumer,100000,10,94.161070000000009,3.1128266424746487
circularfifo-pop,28,consumer,100000,10,79.483940000000004,0.14225133531886458
circularfifo-push,1,producer,100000,10,77.770779999999988,1.1235038734245648
circularfifo-push,2,producer,100000,10,83.854709999999997,4.4884220909914418
circularfifo-push,4,producer,100000,10,90.87924000000001,3.2906249267274457
circularfifo-push,8,producer,100000,10,87.240189999999998,2.6511175049212743
circularfifo-push,14,producer,100000,10,80.273799999999994,0.97508026746519982
circularfifo-push,28,producer,100000,10,62.960770000000004,0.97293561662630246
folly,1,consumer,1000000,10,27.994709999999998,1.4729227307975119
folly,1,producer,1000000,10,28.355880000000003,1.5111596896423618
folly,1,total,1000000,10,56.350560000000009,2.9840636625916677
folly,2,consumer,1000000,10,11.48457,0.57637581325034803
folly,2,producer,1000000,10,11.74549,0.54605375092567587
folly,2,total,1000000,10,23.230029999999999,1.1190208407800097
folly,4,consumer,1000000,10,6.944941,0.19784378476211997
folly,4,producer,1000000,10,7.1425389999999993,0.19312743686229566
folly,4,total,1000000,10,14.087470000000001,0.38960814942708799
folly,8,consumer,1000000,10,4.267417,0.17087238173853597
folly,8,producer,1000000,10,4.35731,0.19061533894206945
folly,8,total,1000000,10,8.624725999999999,0.36143455153595933
folly,14,consumer,1000000,10,4.7070489999999996,0.21164946115924799
folly,14,producer,1000000,10,4.7699960000000008,0.21687412875675144
folly,14,total,1000000,10,9.4770439999999994,0.42851429395528917
folly,28,consumer,1000000,10,2.6629510000000005,0.11717079913101218
folly,28,producer,1000000,10,2.697759,0.11814233639555301
folly,28,total,1000000,10,5.3607099999999992,0.2352969037620343
folly-pop,1,consumer,100000,10,138.1601,5.0820963282881593
folly-pop,2,consumer,100000,10,119.7449,8.2866918544133128
folly-pop,4,consumer,100000,10,61.903710000000004,4.9354883352004801
folly-pop,8,consumer,100000,10,24.077719999999999,0.60606546313083953
folly-pop,14,consumer,100000,10,24.282779999999999,0.7354898759330406
folly-pop,28,consumer,100000,10,18.924029999999998,0.23455846627227112
folly-push,1,producer,100000,10,68.718339999999998,10.969855994059355
folly-push,2,producer,100000,10,76.503170000000011,7.9873280656362171
folly-push,4,producer,100000,10,50.064120000000003,4.0096276844116083
folly-push,8,producer,100000,10,21.739240000000002,1.8583538603828931
folly-push,14,producer,100000,10,19.187390000000001,0.23218914035759672
folly-push,28,producer,100000,10,14.433299999999999,0.58268298070219982
