exe,threads,type,elems,turns,throughput,stdev
boost-dynamic,1,consumer,100000,1000,33599.080000000002,11923.766096900761
boost-dynamic,1,producer,100000,1000,33989.25,12270.103710829017
boost-dynamic,2,consumer,100000,1000,27255.77,1776.8806870749647
boost-dynamic,2,producer,100000,1000,27488.18,1806.8928268162449
boost-dynamic,4,consumer,100000,1000,24539.060000000001,980.38602111617195
boost-dynamic,4,producer,100000,1000,24733.350000000002,996.20394523410698
boost-dynamic,8,consumer,100000,1000,23744.649999999998,812.73002559275528
boost-dynamic,8,producer,100000,1000,23959.700000000001,826.30112065759658
boost-dynamic,14,consumer,100000,1000,26985.590000000004,797.60780518999468
boost-dynamic,14,producer,100000,1000,27189.879999999997,808.52503337868245
boost-dynamic,28,consumer,100000,1000,18279.419999999998,720.9991578358464
boost-dynamic,28,producer,100000,1000,18722.249999999996,759.36917141795993
boost-dynamic-pop,1,consumer,10000,1000,313061.79999999999,18182.839546121504
boost-dynamic-pop,2,consumer,10000,1000,299785.40000000002,24713.51646852386
boost-dynamic-pop,4,consumer,10000,1000,105042.5,4925.6716792738025
boost-dynamic-pop,8,consumer,10000,1000,40268.349999999999,1411.8454711830188
boost-dynamic-pop,14,consumer,10000,1000,35926.249999999993,972.33079582002438
boost-dynamic-pop,28,consumer,10000,1000,35885.710000000006,326.66530715703396
boost-dynamic-push,1,producer,10000,1000,177190.10000000001,11028.481730954629
boost-dynamic-push,2,producer,10000,1000,166713.60000000001,10377.296701935431
boost-dynamic-push,4,producer,10000,1000,126425.2,4943.8851483423441
boost-dynamic-push,8,producer,10000,1000,72016.12999999999,486.93606777481421
boost-dynamic-push,14,producer,10000,1000,61521.980000000003,1081.6700973956897
boost-dynamic-push,28,producer,10000,1000,43236.349999999999,1132.5939398124999
boost-static,1,consumer,100000,1000,63363.87000000001,3515.7049950330033
boost-static,1,producer,100000,1000,64775.139999999999,3659.0713784237664
boost-static,2,consumer,100000,1000,52535.909999999996,2480.5578543746974
boost-static,2,producer,100000,1000,53460.380000000005,2565.5301194100207
boost-static,4,consumer,100000,1000,36423.480000000003,1368.8208690694339
boost-static,4,producer,100000,1000,36866.699999999997,1407.6696395106342
boost-static,8,consumer,100000,1000,51594.25,1585.7531934383733
boost-static,8,producer,100000,1000,52440.519999999997,1700.7277170670216
boost-static,14,consumer,100000,1000,46838.100000000006,1308.2346395047025
boost-static,14,producer,100000,1000,47302.699999999997,1331.7954174722181
boost-static,28,consumer,100000,1000,37891.170000000006,1072.11635847048
boost-static,28,producer,100000,1000,38633.780000000006,1122.9128753380644
boost-static-pop,1,consumer,10000,1000,249517.0,25559.316821855784
boost-static-pop,2,consumer,10000,1000,229423.89999999999,6105.6989845553308
boost-static-pop,4,consumer,10000,1000,196557.70000000001,6209.6369628183584
boost-static-pop,8,consumer,10000,1000,195494.60000000001,11532.180237925524
boost-static-pop,14,consumer,10000,1000,187407.29999999999,3128.6800747279995
boost-static-pop,28,consumer,10000,1000,193656.89999999999,1531.7549706137729
boost-static-push,1,producer,10000,1000,176695.29999999999,12026.787917395068
boost-static-push,2,producer,10000,1000,174219.29999999999,8040.2918112466541
boost-static-push,4,producer,10000,1000,154739.79999999999,8482.3744057899257
boost-static-push,8,producer,10000,1000,140369.89999999999,2403.8364940236684
boost-static-push,14,producer,10000,1000,83246.600000000006,3437.8834250160389
boost-static-push,28,producer,10000,1000,42112.849999999991,2239.1718644400662
circularfifo,1,consumer,100000,1000,14858.929999999998,1769.4350833246185
circularfifo,1,producer,100000,1000,15127.359999999997,1847.6014062562303
circularfifo,2,consumer,100000,1000,10662.799999999999,588.1828287190981
circularfifo,2,producer,100000,1000,10795.415999999999,601.07578083299961
circularfifo,4,consumer,100000,1000,6594.7309999999998,286.232017372271
circularfifo,4,producer,100000,1000,6708.9760000000006,267.9265964476092
circularfifo,8,consumer,100000,1000,6579.3310000000001,143.09999241439533
circularfifo,8,producer,100000,1000,6729.933,150.34327308197064
circularfifo,14,consumer,100000,1000,4147.366,228.8646340175782
circularfifo,14,producer,100000,1000,4184.2690000000002,230.37614704869068
circularfifo,28,consumer,100000,1000,3090.6670000000004,191.10635107447368
circularfifo,28,producer,100000,1000,3152.4839999999999,191.87369393431706
circularfifo-pop,1,consumer,10000,1000,33672.639999999999,271.55308946870878
circularfifo-pop,2,consumer,10000,1000,36256.759999999995,2996.2777645605561
circularfifo-pop,4,consumer,10000,1000,21706.18,185.30607005708146
circularfifo-pop,8,consumer,10000,1000,10933.170000000002,79.198447585795492
circularfifo-pop,14,consumer,10000,1000,10643.52,270.80303100223972
circularfifo-pop,28,consumer,10000,1000,11463.83,143.18367958674645
circularfifo-push,1,producer,10000,1000,48361.950000000004,2306.7094074677029
circularfifo-push,2,producer,10000,1000,49583.110000000001,867.19503048622198
circularfifo-push,4,producer,10000,1000,28360.77,657.0390324021854
circularfifo-push,8,producer,10000,1000,10538.049999999999,143.42892490707723
circularfifo-push,14,producer,10000,1000,9261.8869999999988,183.76552565973859
circularfifo-push,28,producer,10000,1000,8984.6329999999998,108.58049383291659
folly,1,consumer,100000,1000,30248.840000000004,1811.8978300113943
folly,1,producer,100000,1000,30670.090000000004,1857.1680217201674
folly,2,consumer,100000,1000,29269.410000000003,979.50853232628879
folly,2,producer,100000,1000,29645.52,1017.3787827549784
folly,4,consumer,100000,1000,20137.68,583.64413438327313
folly,4,producer,100000,1000,20813.810000000001,686.58212101685217
folly,8,consumer,100000,1000,12950.4,294.21169589260029
folly,8,producer,100000,1000,13372.980000000001,308.20106683786804
folly,14,consumer,100000,1000,11618.76,258.92486246013527
folly,14,producer,100000,1000,11847.98,270.80424221197137
folly,28,consumer,100000,1000,5643.2560000000003,516.30288016241013
folly,28,producer,100000,1000,5772.3119999999999,513.30037046158463
folly-pop,1,consumer,10000,1000,178656.70000000001,25957.035262333022
folly-pop,2,consumer,10000,1000,206337.5,18007.849534300312
folly-pop,4,consumer,10000,1000,50802.829999999994,785.42699603464143
folly-pop,8,consumer,10000,1000,23384.610000000001,734.84083507927073
folly-pop,14,consumer,10000,1000,20915.639999999999,333.89735907910432
folly-pop,28,consumer,10000,1000,20681.810000000001,252.23147484007598
folly-push,1,producer,10000,1000,148497.29999999999,16251.290478297407
folly-push,2,producer,10000,1000,138565.89999999999,11584.977094927723
folly-push,4,producer,10000,1000,63263.369999999995,1947.5265893178453
folly-push,8,producer,10000,1000,24607.510000000002,397.51230031283262
folly-push,14,producer,10000,1000,22470.650000000001,260.7156544973854
folly-push,28,producer,10000,1000,20980.120000000003,337.85562833849622
