exe,threads,type,elems,turns,throughput,stdev
boost-dynamic,1,consumer,100000,100,184.47489999999999,25.330965960460329
boost-dynamic,1,producer,100000,100,184.56019999999998,25.372592417015646
boost-dynamic,1,total,100000,100,369.03499999999997,50.703420304748668
boost-dynamic,4,consumer,100000,100,202.44749999999999,22.622818826353178
boost-dynamic,4,producer,100000,100,202.5676,22.601340151415801
boost-dynamic,4,total,100000,100,405.01509999999996,45.224222517252848
boost-dynamic,16,consumer,100000,100,192.27870000000001,7.8561280418536974
boost-dynamic,16,producer,100000,100,192.64019999999999,7.7465238629981643
boost-dynamic,16,total,100000,100,384.9187,15.602322865842758
boost-dynamic,32,consumer,100000,100,173.6619,4.3389003088340221
boost-dynamic,32,producer,100000,100,173.98060000000001,4.3582461197137548
boost-dynamic,32,total,100000,100,347.64269999999999,8.696534850732208
boost-dynamic,57,consumer,100000,100,169.22319999999999,2.5616682767290544
boost-dynamic,57,producer,100000,100,169.70020000000002,2.5966604244683169
boost-dynamic,57,total,100000,100,338.92340000000002,5.1579899224407182
boost-dynamic,114,consumer,100000,100,160.15290000000002,1.2137598980028972
boost-dynamic,114,producer,100000,100,160.75150000000002,1.2168444641777334
boost-dynamic,114,total,100000,100,320.9042,2.429812330201647
boost-dynamic-pop,1,consumer,10000,100,3589.3820000000001,16.080562054853626
boost-dynamic-pop,4,consumer,10000,100,1743.8119999999999,17.191323858272202
boost-dynamic-pop,16,consumer,10000,100,1733.5190000000002,8.8429084016515862
boost-dynamic-pop,32,consumer,10000,100,1381.2460000000001,7.2637981800157565
boost-dynamic-pop,57,consumer,10000,100,1221.9609999999998,2.2813918996963105
boost-dynamic-pop,114,consumer,10000,100,1121.3779999999999,2.3947141791871389
boost-dynamic-push,1,producer,10000,100,1718.9630000000002,5.8533085515799925
boost-dynamic-push,4,producer,10000,100,570.75940000000003,7.6800967728277874
boost-dynamic-push,16,producer,10000,100,718.31449999999995,52.073728998891582
boost-dynamic-push,32,producer,10000,100,474.98109999999997,23.065191997683431
boost-dynamic-push,57,producer,10000,100,355.00799999999998,3.6664002782020346
boost-dynamic-push,114,producer,10000,100,226.19320000000002,9.728936476306135
boost-static,1,consumer,100000,100,185.67849999999999,23.3147906241939
boost-static,1,producer,100000,100,185.80339999999998,23.340149443394747
boost-static,1,total,100000,100,371.48200000000003,46.654991887256827
boost-static,4,consumer,100000,100,191.66900000000001,17.161038878809176
boost-static,4,producer,100000,100,191.89749999999998,17.199023322561079
boost-static,4,total,100000,100,383.56659999999999,34.359750421677973
boost-static,16,consumer,100000,100,201.50239999999999,4.8236324320992772
boost-static,16,producer,100000,100,201.7253,4.8227612225777845
boost-static,16,total,100000,100,403.22770000000003,9.646381363495852
boost-static,32,consumer,100000,100,192.79349999999999,4.0676287502671631
boost-static,32,producer,100000,100,193.01649999999998,4.0827907183689929
boost-static,32,total,100000,100,385.81010000000003,8.1503213120710747
boost-static,57,consumer,100000,100,186.14510000000001,2.973178482701639
boost-static,57,producer,100000,100,186.3212,2.992541488434207
boost-static,57,total,100000,100,372.46629999999999,5.9657568849224898
boost-static,114,consumer,100000,100,183.14620000000002,1.9545475077367662
boost-static,114,producer,100000,100,183.23499999999999,1.9408732055443496
boost-static,114,total,100000,100,366.3814000000001,3.8951792564656085
boost-static-pop,1,consumer,10000,100,3360.6090000000004,16.813082079143037
boost-static-pop,4,consumer,10000,100,3371.3600000000006,6.4895207835401605
boost-static-pop,16,consumer,10000,100,3357.5260000000003,10.331706732190929
boost-static-pop,32,consumer,10000,100,3358.7139999999999,11.315794448468889
boost-static-pop,57,consumer,10000,100,3343.7880000000005,7.0740819899121519
