exe,threads,type,elems,turns,throughput,stdev
boost-dynamic,1,consumer,100000,10,2.3066999999999998,0.56400827268755549
boost-dynamic,1,producer,100000,10,2.3860730000000001,0.64145429335300264
boost-dynamic,1,total,100000,10,4.6927729999999999,1.2053134645896062
boost-dynamic,4,consumer,100000,10,1.8279379999999996,0.2096846856496678
boost-dynamic,4,producer,100000,10,1.9376460000000002,0.23569723096379394
boost-dynamic,4,total,100000,10,3.7655860000000003,0.444330415776368
boost-dynamic,16,consumer,100000,10,0.69906940000000006,0.055103942835699145
boost-dynamic,16,producer,100000,10,0.7195028,0.059549594129263375
boost-dynamic,16,total,100000,10,1.4185710000000002,0.11459684004805723
boost-dynamic,32,consumer,100000,10,0.64537620000000007,0.022215679903167508
boost-dynamic,32,producer,100000,10,0.66999969999999998,0.020941168086092997
boost-dynamic,32,total,100000,10,1.315375,0.043075581307743235
boost-dynamic,57,consumer,100000,10,0.70963560000000003,0.014206043609675423
boost-dynamic,57,producer,100000,10,0.73353620000000008,0.013663376052791628
boost-dynamic,57,total,100000,10,1.4431719999999999,0.02780231278149357
boost-dynamic,114,consumer,100000,10,0.99300220000000006,0.014727197593568169
boost-dynamic,114,producer,100000,10,1.0466910000000003,0.01781057351687473
boost-dynamic,114,total,100000,10,2.0396950000000005,0.032488823693695053
boost-dynamic-pop,1,consumer,10000,10,23.855880000000003,0.20835985121899103
boost-dynamic-pop,4,consumer,10000,10,12.92099,0.47254517551235248
boost-dynamic-pop,16,consumer,10000,10,11.61164,0.14887613777902772
boost-dynamic-pop,32,consumer,10000,10,10.181179999999999,0.10570160642109495
boost-dynamic-pop,57,consumer,10000,10,9.1054739999999992,0.22922338664281167
boost-dynamic-pop,114,consumer,10000,10,7.89541,0.066187448205834332
boost-dynamic-push,1,producer,10000,10,16.318950000000001,0.35622895516788111
boost-dynamic-push,4,producer,10000,10,7.7516589999999992,0.54376379049087109
boost-dynamic-push,16,producer,10000,10,8.2342319999999987,0.23178111992998912
boost-dynamic-push,32,producer,10000,10,5.4285259999999997,0.36503843781716999
boost-dynamic-push,57,producer,10000,10,2.46936,0.16155890504704465
boost-dynamic-push,114,producer,10000,10,1.125564,0.027461709415111082
boost-static,1,consumer,100000,10,1.9333549999999999,0.35470043865915929
boost-static,1,producer,100000,10,1.9349969999999999,0.35524022962074547
boost-static,1,total,100000,10,3.8683510000000005,0.70994120798063276
boost-static,4,consumer,100000,10,1.822033,0.19861332337232562
boost-static,4,producer,100000,10,1.8234189999999999,0.19908446501171306
boost-static,4,total,100000,10,3.6454520000000001,0.39769576793825701
boost-static,16,consumer,100000,10,2.1004499999999999,0.14007893096393906
boost-static,16,producer,100000,10,2.1139319999999997,0.14453290385237544
boost-static,16,total,100000,10,4.214383999999999,0.2845652508019908
boost-static,32,consumer,100000,10,1.968701,0.074278585938344341
boost-static,32,producer,100000,10,1.9783340000000003,0.076073887793381534
boost-static,32,total,100000,10,3.9470359999999998,0.15033214660876759
boost-static,57,consumer,100000,10,1.8813270000000002,0.025345933026819128
boost-static,57,producer,100000,10,1.8885909999999999,0.026210054730961541
boost-static,57,total,100000,10,3.7699179999999997,0.051553531169067392
boost-static,114,consumer,100000,10,1.7160519999999999,0.024806440615291806
boost-static,114,producer,100000,10,1.724137,0.026731823749980094
boost-static,114,total,100000,10,3.4401859999999997,0.051523911769197031
boost-static-pop,1,consumer,10000,10,22.82976,0.4315610042624336
boost-static-pop,4,consumer,10000,10,22.884689999999999,0.26678729148893121
boost-static-pop,16,consumer,10000,10,22.865829999999999,0.21872319058572653
boost-static-pop,32,consumer,10000,10,22.762509999999999,0.23549264298487066
boost-static-pop,57,consumer,10000,10,22.897619999999996,0.10027405247620112
boost-static-pop,114,consumer,10000,10,19.330710000000003,0.1626990808210052
boost-static-push,1,producer,10000,10,16.450089999999999,0.096754518757523805
boost-static-push,4,producer,10000,10,15.00428,0.19199844166034283
boost-static-push,16,producer,10000,10,10.819239999999999,0.28928982422477312
boost-static-push,32,producer,10000,10,5.6888589999999999,0.19990229430649367
boost-static-push,57,producer,10000,10,2.5442340000000003,0.081978578445835504
boost-static-push,114,producer,10000,10,1.1782969999999999,0.021255493431110949
circularfifo,1,consumer,100000,10,1.813091,0.48937322653471749
circularfifo,1,producer,100000,10,1.8354489999999999,0.53555035926512085
circularfifo,1,total,100000,10,3.6485399999999997,1.0242902911382106
circularfifo,4,consumer,100000,10,1.846066,0.16395082879936901
circularfifo,4,producer,100000,10,1.8540599999999998,0.16802756142966546
circularfifo,4,total,100000,10,3.700126,0.33190624583457295
circularfifo,16,consumer,100000,10,1.8875579999999998,0.070310519810338465
circularfifo,16,producer,100000,10,1.9044730000000001,0.077477115982721029
circularfifo,16,total,100000,10,3.7920310000000002,0.14768777203614378
circularfifo,32,consumer,100000,10,1.76783,0.056427405752878641
circularfifo,32,producer,100000,10,1.778597,0.058915512736460174
circularfifo,32,total,100000,10,3.5464260000000003,0.11527396420701427
circularfifo,57,consumer,100000,10,1.7268839999999996,0.02669322543268238
circularfifo,57,producer,100000,10,1.734947,0.027946599453242984
circularfifo,57,total,100000,10,3.4618329999999999,0.054632473502487539
circularfifo,114,consumer,100000,10,1.6776430000000002,0.016209859376317828
circularfifo,114,producer,100000,10,1.6915,0.017128532336426219
circularfifo,114,total,100000,10,3.3691429999999998,0.033277206628561783
circularfifo-pop,1,consumer,10000,10,15.100680000000001,0.28298827113504194
circularfifo-pop,4,consumer,10000,10,15.091140000000001,0.14592618133837393
circularfifo-pop,16,consumer,10000,10,15.175520000000001,0.096778952257192685
circularfifo-pop,32,consumer,10000,10,15.120290000000001,0.063568820187258471
circularfifo-pop,57,consumer,10000,10,15.123389999999997,0.12701450665179925
circularfifo-pop,114,consumer,10000,10,10.668530000000001,0.023652993468057857
circularfifo-push,1,producer,10000,10,17.420699999999997,0.096927488361145592
circularfifo-push,4,producer,10000,10,17.442820000000001,0.051281669239602819
circularfifo-push,16,producer,10000,10,17.377950000000002,0.065496018962987457
circularfifo-push,32,producer,10000,10,17.377699999999997,0.11014682927801424
circularfifo-push,57,producer,10000,10,17.156709999999997,0.15710597983526894
circularfifo-push,114,producer,10000,10,11.808869999999999,0.070077943034880769
folly,1,consumer,100000,10,4.1045360000000004,0.44393728442652802
folly,1,producer,100000,10,4.1113480000000004,0.44354885171308917
folly,1,total,100000,10,8.2158830000000016,0.88748042732276633
folly,4,consumer,100000,10,2.399038,0.22523036317512785
folly,4,producer,100000,10,2.4302610000000002,0.22558096756818827
folly,4,total,100000,10,4.8292990000000007,0.44992199351554263
folly,16,consumer,100000,10,1.4008910000000001,0.055996682124925944
folly,16,producer,100000,10,1.4102330000000001,0.058774831526768337
folly,16,total,100000,10,2.811124,0.1147492176182478
folly,32,consumer,100000,10,1.080908,0.019897887224527164
folly,32,producer,100000,10,1.0896680000000001,0.020917854478889598
folly,32,total,100000,10,2.1705770000000006,0.040709677240184601
folly,57,consumer,100000,10,0.88091180000000002,0.011319246996156598
folly,57,producer,100000,10,0.89356939999999996,0.010552833289690488
folly,57,total,100000,10,1.7744820000000001,0.021772485756109718
folly,114,consumer,100000,10,0.66999770000000003,0.0081051865993325405
folly,114,producer,100000,10,0.67985289999999998,0.008266001614444551
folly,114,total,100000,10,1.3498510000000001,0.016312890884205667
folly-pop,1,consumer,10000,10,24.301049999999996,0.72350656562328408
folly-pop,4,consumer,10000,10,8.4646900000000009,0.36079827804467124
folly-pop,16,consumer,10000,10,5.0242639999999996,0.083331105980900017
folly-pop,32,consumer,10000,10,4.8309470000000001,0.066153351547748457
folly-pop,57,consumer,10000,10,4.4683980000000005,0.13503653926252696
folly-pop,114,consumer,10000,10,3.4839150000000005,0.049235647096387364
folly-push,1,producer,10000,10,16.278090000000002,0.25788119532063669
folly-push,4,producer,10000,10,8.8341539999999998,0.17475911347909709
folly-push,16,producer,10000,10,4.8653089999999999,0.083848531227446121
folly-push,32,producer,10000,10,4.2045300000000001,0.23023888863526076
folly-push,57,producer,10000,10,2.5820119999999998,0.11831775900514693
folly-push,114,producer,10000,10,1.164075,0.034098866036864094
