exe,threads,type,elems,turns,throughput,stdev
boost-dynamic,1,consumer,100000,100,187.88589999999999,18.314671012333253
boost-dynamic,1,producer,100000,100,188.0805,18.295968781401001
boost-dynamic,1,total,100000,100,375.96640000000002,36.610502480026142
boost-dynamic,4,consumer,100000,100,210.0891,26.001112404856833
boost-dynamic,4,producer,100000,100,210.46950000000001,26.157784777193967
boost-dynamic,4,total,100000,100,420.55840000000001,52.158722714805819
boost-dynamic,16,consumer,100000,100,197.1276,6.314431759073817
boost-dynamic,16,producer,100000,100,197.53740000000002,6.4106602811254954
boost-dynamic,16,total,100000,100,394.66480000000001,12.72391075731043
boost-dynamic,32,consumer,100000,100,179.66579999999999,4.8786551589551808
boost-dynamic,32,producer,100000,100,180.22710000000001,4.9083843258245361
boost-dynamic,32,total,100000,100,359.89299999999997,9.7851109651347361
boost-dynamic,57,consumer,100000,100,175.833,1.4705849176433137
boost-dynamic,57,producer,100000,100,176.35240000000005,1.4620997366800941
boost-dynamic,57,total,100000,100,352.18510000000003,2.9314346129497841
boost-dynamic,114,consumer,100000,100,170.77730000000003,3.1236495978262369
boost-dynamic,114,producer,100000,100,171.58170000000001,3.1392333156361603
boost-dynamic,114,total,100000,100,342.35880000000003,6.2627684421508061
boost-dynamic-pop,1,consumer,10000,100,3593.0660000000003,14.980915993356332
boost-dynamic-pop,4,consumer,10000,100,1735.1219999999998,26.425720349689655
boost-dynamic-pop,16,consumer,10000,100,1736.8750000000005,9.0230917650215634
boost-dynamic-pop,32,consumer,10000,100,1377.5679999999998,4.8886947133156369
boost-dynamic-pop,57,consumer,10000,100,1223.8880000000001,3.5288859431837718
boost-dynamic-pop,114,consumer,10000,100,1777.6850000000002,6.8990365269361815
boost-dynamic-push,1,producer,10000,100,2614.2659999999996,11.021618937343073
boost-dynamic-push,4,producer,10000,100,794.48479999999995,11.938830703213775
boost-dynamic-push,16,producer,10000,100,1050.7329000000002,35.40113441247329
boost-dynamic-push,32,producer,10000,100,678.31819999999993,8.5044985366569215
boost-dynamic-push,57,producer,10000,100,362.24539999999996,16.242199544396687
boost-dynamic-push,114,producer,10000,100,593.63780000000008,32.069638460076234
boost-static,1,consumer,100000,100,193.72010000000003,29.350063228040923
boost-static,1,producer,100000,100,194.20019999999997,29.750193155003213
boost-static,1,total,100000,100,387.92039999999997,59.099854981547963
boost-static,4,consumer,100000,100,202.43010000000001,18.502871136393935
boost-static,4,producer,100000,100,202.83840000000001,18.649684491701194
boost-static,4,total,100000,100,405.26859999999999,37.152309856050685
boost-static,16,consumer,100000,100,209.27590000000001,8.2465812971194321
boost-static,16,producer,100000,100,209.6292,8.3212003917704074
boost-static,16,total,100000,100,418.9049,16.567510883955975
boost-static,32,consumer,100000,100,193.94980000000001,6.030283306777549
boost-static,32,producer,100000,100,194.3064,6.045684083707985
boost-static,32,total,100000,100,388.25619999999998,12.075683573197834
boost-static,57,consumer,100000,100,194.37509999999997,2.9280498441795699
boost-static,57,producer,100000,100,194.72620000000001,2.9386713936743587
boost-static,57,total,100000,100,389.10130000000004,5.8667507029019088
boost-static,114,consumer,100000,100,188.48249999999999,1.73902215339541
boost-static,114,producer,100000,100,188.66980000000001,1.7459357834697171
boost-static,114,total,100000,100,377.15210000000002,3.484574362816776
boost-static-pop,1,consumer,10000,100,3377.971,11.501319446046253
boost-static-pop,4,consumer,10000,100,3290.4090000000006,32.761467137477197
boost-static-pop,16,consumer,10000,100,3353.7220000000002,22.261335449608548
boost-static-pop,32,consumer,10000,100,3348.2150000000001,11.714271851037093
boost-static-pop,57,consumer,10000,100,3335.5830000000001,12.992841144260964
boost-static-pop,114,consumer,10000,100,2663.4120000000003,8.0012771480558875
boost-static-push,1,producer,10000,100,2631.2979999999998,12.23264305046138
boost-static-push,4,producer,10000,100,2565.1929999999998,15.893581125724982
boost-static-push,16,producer,10000,100,2483.6030000000001,38.336484984933115
boost-static-push,32,producer,10000,100,1733.0189999999998,35.100731174720565
boost-static-push,57,producer,10000,100,890.74029999999982,21.550791846472837
boost-static-push,114,producer,10000,100,604.03160000000003,11.898182425900179
circularfifo,1,consumer,100000,100,176.10469999999998,25.872325604977998
circularfifo,1,producer,100000,100,176.60679999999999,26.021699248127515
circularfifo,1,total,100000,100,352.7115,51.887548427826111
circularfifo,4,consumer,100000,100,161.2979,18.614989462527237
circularfifo,4,producer,100000,100,161.46039999999999,18.623770977973283
circularfifo,4,total,100000,100,322.75840000000005,37.23870333188308
circularfifo,16,consumer,100000,100,130.15620000000001,7.4231912517461076
circularfifo,16,producer,100000,100,130.7688,7.4584748816363247
circularfifo,16,total,100000,100,260.92489999999998,14.87735293961933
circularfifo,32,consumer,100000,100,115.4247,2.9821743091241357
circularfifo,32,producer,100000,100,115.6721,2.9990583338774877
circularfifo,32,total,100000,100,231.09690000000001,5.9789680622997174
circularfifo,57,consumer,100000,100,106.0433,1.3852752109238065
circularfifo,57,producer,100000,100,106.22200000000001,1.4121816455399767
circularfifo,57,total,100000,100,212.2654,2.7971461956787329
circularfifo,114,consumer,100000,100,87.215900000000005,0.38482897500058344
circularfifo,114,producer,100000,100,87.30037999999999,0.38520670502990922
circularfifo,114,total,100000,100,174.5163,0.76994753717380215
circularfifo-pop,1,consumer,10000,100,984.41790000000003,3.7980292376441738
circularfifo-pop,4,consumer,10000,100,478.8347,3.9464561076996625
circularfifo-pop,16,consumer,10000,100,400.02600000000001,2.875263396629959
circularfifo-pop,32,consumer,10000,100,374.23580000000004,4.0629334919488924
